school,2003-2007,modeled 2013-2017,actual 2013-2017,relative difference
University of Richmond,186,134.04820650415965,78,0.5818802208113063
California Lutheran University,51,58.47907929953056,34,0.5814045023836915
Brigham Young University-Hawaii,64,57.056686646072976,32,0.5608457462400238
University of Wisconsin-La Crosse,148,147.50028122887355,82,0.5559311434312595
Texas Woman's University,98,127.9943815543358,70,0.546899005643336
Lafayette College,125,101.5199075409362,55,0.5417656628363473
Albion College,107,63.82426555440265,32,0.5013767055842386
Eastern New Mexico University-Main Campus,106,120.64851461144276,59,0.489023840782572
Grand Valley State University,391,466.00857982054316,223,0.4785319619777727
University of Michigan-Dearborn,170,159.20310050796968,75,0.47109635277640527
Saint John Fisher College,162,150.90585898236017,68,0.4506120601185452
Molloy College,96,113.54266297402019,51,0.4491703705387759
Calvin College,174,120.46216097058623,53,0.43997218357174617
Augustana College,109,84.32915829857374,37,0.4387568991142863
Tarleton State University,122,142.0931233652175,62,0.43633357147511875
Arkansas Tech University,219,299.4584392260228,127,0.42409891779387787
The University of Texas of the Permian Basin,188,230.78914041334548,92,0.39863227461754547
Savannah College of Art and Design,96,134.00517384558913,51,0.380582320342094
Fort Hays State University,71,113.77050237642646,39,0.34279535719164494
Fayetteville State University,269,246.90616183193617,67,0.2713581528419104
